,Unnamed: 0,2015,Jerusalem_no2,Jerusalem_pm25,beer_sheva_no2,beer_sheva_pm25,holon_no2,holon_pm25,tlv_no2,tlv_pm25,gedera_no2,gedera_pm25,shderot_no2,shderot_pm25,haifa_no2,haifa_pm25
0,0,Date,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
1,1,42006,68.1,29.6,30.3,46.8,39.1,49.1,61,50,22.9,57,11.2,64,15,51.8
2,2,42007,36.2,37.5,20.1,46.2,19.6,51.3,36,50.3,8.3,70,-0.3,76,14.3,50.4
3,3,42008,31.1,16.3,12.1,16.6,11.8,12.3,20.2,10.6,5.4,12.8,-1.3,18.6,7.8,8.9
4,4,42009,44.6,21.7,13.1,12.3,24.2,9,42.6,9,12.4,12,4.5,13.4,18.6,9.8
5,5,42010,27.5,22,11,11.9,21,10.8,45.2,12.1,13.1,12.5,6.3,11.7,16.4,6.5
6,6,42011,27.4,61.2,5.7,143.8,11.3,68.7,25.1,55,10.3,127.6,2.5,151.5,13.4,45.8
7,7,42012,11.3,0,5.9,85.9,9.1,50.3,23.5,45.7,7.8,115.3,0,0,0,0
8,8,42013,25.9,0,10.2,11.2,13.1,6.4,25.3,5.8,9.5,6.7,4.5,67.2,0,14.4
9,9,42014,26.3,9.4,11.3,9.8,23.3,4.8,35.4,6.3,10,5.8,1.9,5.9,0,0
10,10,42015,19.2,18.7,9.8,10.8,13.2,8.5,21.9,8.5,3.5,8.9,-0.8,8.9,0,0
11,11,42016,56.7,19.5,19.3,14.9,38.5,10.2,53,9.5,22.7,5.4,10.7,10.2,0,0
12,12,42017,48,26.9,15.5,20.5,48.3,14,62,16.8,20.7,12.6,9.5,14.6,Down,9.9
13,13,42018,60.4,25.8,12.6,19.4,52.8,11.4,67.6,15.1,19.8,12.1,8.7,10.8,0,0
14,14,42019,60.3,28.1,19.6,17.2,38,13.8,60,13.8,19.1,19,17.1,20.5,0,0
15,15,42020,46.6,18.1,14.9,17.5,34.4,14.6,55,15.6,8.8,18.9,7.4,23.9,18.6,17.4
16,16,42021,40.8,23.9,11.5,17.6,32.1,13.1,43.7,12.1,5.9,18.4,2.6,17.2,14.7,8.1
17,17,42022,42.5,28.4,15.3,14.2,28.7,11.3,35.9,10.7,3.7,10.8,2.4,9.3,16.8,16.2
