,Unnamed: 0,2016,Jerusalem_no2,Jerusalem_pm25,beer_sheva_no2,beer_sheva_pm25,holon_no2,holon_pm25,tlv_no2,tlv_pm25,gedera_no2,gedera_pm25,shderot_no2,shderot_pm25,haifa_no2,haifa_pm25
0,0,Date,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
1,1,42371,17.8,15.7,3.1,2.5,8.8,5.8,13.6,6.3,4.3,5.6,4,4.8,0.8,5.6
2,2,42372,24.4,14.9,5.4,6.7,13,6.2,16.3,4.4,4.5,6.1,5.9,6.8,0.5,6
3,3,42373,35.4,23.6,9.6,11.6,34.5,8.5,44.3,11.5,16.7,12.8,12.8,13.9,13.6,7.4
4,4,42374,40.9,24.6,23.4,17.9,32.5,8.5,43.6,10.8,16.3,0,14.2,11.9,13.2,7.3
5,5,42375,43.2,28.1,19.9,11.5,33.5,11.3,46.3,10.7,21.2,7.4,15.9,8.2,10.9,9.4
6,6,42376,60.4,32,27.8,14.2,45.1,12.8,61.1,14.4,37.3,8.6,19.6,10.5,19.8,8.7
7,7,42377,62.2,46.2,17.8,22.9,49.3,26.4,62.5,25.4,27.6,27.2,15.8,21,16.8,13.9
8,8,42378,15.6,111.4,4.3,219.7,9,131.4,16.1,112.8,6.7,190,6.4,198,2.6,23.6
9,9,42379,26.8,20.7,12.1,7.5,18.5,8.7,18.8,6.8,10.1,6.1,7.7,8.2,2.1,7.5
10,10,42380,67.5,25,21.2,13.6,52.6,12.4,57.2,11.9,27.7,7.7,18.9,9.6,17,7.8
11,11,42381,77.1,30.4,33.3,23.5,54.6,23.3,64.1,26,38.6,0,24,18.4,17.1,11.2
12,12,42382,74.7,33.5,35.6,32,54,24.9,61.5,24.1,44.7,16,22.8,24.5,28.5,10.1
13,13,42383,81.6,41.1,34.2,30.4,60.3,32,71,31.4,42.2,20.2,0,25.8,25.2,13.2
14,14,42384,55.2,31.8,19.1,23.9,33.3,16.2,51.1,18.7,30.6,16.9,30.4,15.9,15.9,9.8
15,15,42385,38,26.4,14.2,7.1,39.2,9.4,44.6,10.3,13.4,6.8,18.3,8.5,12.2,5.2
16,16,42386,35.9,33.5,16.5,17.7,42.6,17.2,45.5,17.2,21.1,0,25.3,14,9.6,8.1
17,17,42387,64.6,25.8,18.9,15.3,64.8,21.5,72.4,25.4,35.8,0,30.5,19.7,15.1,11.5
18,18,42388,29,105.5,7.9,128.7,17.2,167.5,28.9,169.7,15.4,153.8,19.1,160,2.3,135.8
19,19,42389,31.2,36.9,8.8,78.6,15.4,53.7,29.3,56,12.3,0,12.4,71.6,3.1,27.8
20,20,42390,57.5,7.5,21.5,13.3,38.1,12.1,48.6,12.1,27.7,0,16.2,17.6,13.1,5.9
21,21,42391,65.2,23.3,30.6,24.8,53.8,28.7,62.8,24.6,36.5,0,41.2,15.7,18.2,19.9
22,22,42392,59.3,21,29.5,33.6,42.9,30.2,52.8,36.1,27.4,0,30.2,23.5,10.3,32.1
23,23,42393,21.9,3,9.1,16.2,16.3,14.8,0,0,8.8,0,13.4,13,2.6,7.7
24,24,42394,28.5,3.7,6.5,5.2,10.8,6.9,0,0,10.4,0,9.7,7.4,1.7,8.9
25,25,42395,42.6,2.8,8.8,8.9,24.3,4.7,0,9,13.9,6.9,11.1,7.6,4.9,5.4
26,26,42396,47.9,5.3,11.9,8.6,31.8,4.6,0,0,12.5,5.9,0,0,7.2,5.8
27,27,42397,64,10.4,18.9,17.4,47.6,10.3,49,11.1,19,8.6,0,0,7.9,6.8
28,28,42398,70.5,16.8,30.8,22.9,54.4,15.6,56.7,15.9,28.5,10.9,0,0,14.8,21.7
