,Unnamed: 0,2012,Jerusalem_no2,Jerusalem_pm25,beer_sheva_no2,beer_sheva_pm25,holon_no2,holon_pm25,tlv_no2,tlv_pm25,gedera_no2,gedera_pm25,shderot_no2,shderot_pm25,haifa_no2,haifa_pm25
0,0,Date,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
1,1,40910,33.8,24,11.6,41.1,16.6,0,48.2,30.5,12.6,49.7,11.8,39.7,0,23.4
2,2,40911,42.6,10.7,20.7,20.9,39.6,0,58.6,14,16.7,19.3,18.5,19,0,10
3,3,40912,60.6,22.1,26.8,21.6,47,0,66.8,18.5,28.6,16.3,16.1,16.2,0,11.9
4,4,40913,65.9,20.3,32,22.7,63.5,0,70.6,23.7,38.6,19.4,28.3,24.4,0,13.3
5,5,40914,52.2,15.4,22.9,18.4,44.3,0,75.7,22.2,24.7,15.7,19.8,19.3,0,11.7
6,6,40915,28.9,10.4,13.1,13.2,28,0,50.5,12.8,13.9,12.1,10.2,13.2,0,7.7
7,7,40916,45.2,14.6,17.7,16.1,38.8,0,53.3,15.3,13.2,12.6,10.2,11,0,10.4
8,8,40917,40.5,17.1,9.2,26.6,26.5,0,51.8,24.3,15.2,40,12.6,33,0,17.8
9,9,40918,40.1,8.9,18.8,11.2,0,0,53.7,15.1,17.5,18.5,16.1,19,0,11.7
10,10,40919,72.3,15.8,28.9,17.4,0,0,73.7,14.5,32.8,14.8,23.9,13.4,0,10.3
11,11,40920,36,11.2,14.4,26.2,23.6,0,53.8,14.4,13,20.7,14.1,22.4,0,11.9
12,12,40921,40.3,9.2,12.4,9.8,22,0,49.4,13.2,16.5,13.4,15.7,13.6,0,5.5
13,13,40922,23,0,8.9,15.8,17.1,0,37.6,9.8,8.3,11.1,7.7,13.7,0,6.2
14,14,40923,21.4,8.3,15.2,12.1,15.6,0,32,10.9,6.2,10.5,8.1,11.9,0,7.9
15,15,40924,54.4,18.2,23.7,18.2,0,0,66.7,16.9,23.4,15.8,16.6,14.4,0,9.9
16,16,40925,46.8,9.9,28.1,18.3,0,0,61.4,12.5,17.2,13.6,16.3,13.9,0,8.7
17,17,40926,49.9,11.7,24.2,12.6,33.6,0,61.3,13.6,23.6,13.1,11.9,12.6,0,6.7
18,18,40927,63,13.2,26.5,14.8,40.7,0,63.2,17.6,29.5,10.6,20.5,12.8,0,7.3
19,19,40928,42,7.6,23.4,11.5,20.3,0,41.5,10.8,18.1,9.1,16,9.3,0,6.1
20,20,40929,35.5,9.2,16.2,12.1,19.5,0,43.7,10.6,8.9,9.1,10.2,9.6,0,7.2
21,21,40930,29.6,12.8,13.3,14.5,16.6,0,36.4,13.6,9.8,12.8,8.2,13.5,0,7.4
22,22,40931,0,10,12.7,18,13.9,0,45.5,12.5,11,10.8,8.1,12.9,0,0
23,23,40932,0,11.9,22.6,11.5,24.9,0,54.2,12,14.8,11.2,18.9,13.3,0,0
24,24,40933,70.7,20.1,19.6,14.7,0,0,68.4,14.8,26.8,13.4,15.2,12.8,0,13.3
25,25,40934,0,16.2,24.9,13.7,0,0,85,18,26.9,17.8,19,14.1,0,12.4
26,26,40935,0,19.8,26.9,22.9,32.6,0,66.2,24.8,19.4,30,17.3,27.1,0,26.2
27,27,40936,18.7,12.8,7.9,24.9,10.2,0,30.9,16.2,7.1,24.8,6.9,20.6,0,9.4
28,28,40937,23.9,9,12.8,12,10.9,0,23.3,10.5,6.2,9.3,7.2,10,0,9.1
29,29,40938,62.1,17,21.2,16.2,32.7,0,66.5,13.6,21.2,13,15.4,11.4,0,11.4
30,30,40939,0,17.4,19.6,17.1,41.5,0,69.2,18.8,21.3,14,17.3,14.8,0,14.6
31,31,40940,36.2,18.6,19.9,20.9,20.9,0,54.5,0,20.6,24.5,15.7,24.9,0,18.6
32,32,40941,35.3,7.1,10.3,14.8,0,0,64,0,18.2,9.8,10,10.5,0,9.2
33,33,40942,51.2,13.8,20.7,16.1,40.5,0,71.2,0,18.6,16,15.5,18.7,0,11.4
34,34,40943,39.9,21.3,12.8,18.9,40.2,0,54.8,0,0,0,14.4,4.2,0,14.4
35,35,40944,26.1,16.1,8.1,13.1,24.4,0,38.8,0,0,0,12.7,10.8,0,13.7
36,36,40945,56.2,14.5,17.6,20.4,0,0,75,0,0,0,29.7,23.8,0,10
37,37,40946,66.2,24.7,17.7,26.6,0,0,96.8,0,0,38.7,41.1,31.3,0,14.4
38,38,40947,43,68,16,117.3,0,0,70.6,0,0,216.5,21.6,162.4,0,75.6
39,39,40948,52,62.1,24.9,96.6,28.2,0,61.3,0,20.1,149.2,24,118.8,0,74.9
40,40,40949,70.2,23.8,25.9,36,32.8,0,74.2,0,18.2,52.5,26,48.5,0,32.6
41,41,40950,25.4,10.5,14.8,15.1,17.7,0,42.9,0,11,22,15.1,21.8,0,5.8
42,42,40951,27.5,10.2,13.4,14.7,20.7,0,38.8,0,16.1,10.8,13.3,12.9,0,8
43,43,40952,57.8,19,15.9,11.7,38.4,0,83.1,0,21.5,14.7,22,13.4,0,9.1
44,44,40953,71.8,25.8,26.6,19.7,51.8,0,93.8,0,35.2,28.3,34.1,27,0,16.8
45,45,40954,81,38,30,45.1,56.4,0,89.3,0,42.1,84.6,28.2,80.6,0,34.7
46,46,40955,56.4,30.3,31.9,38,43.4,0,76.8,0,0,73.8,26.3,68.5,0,46.7
47,47,40956,32.1,8.7,10.2,9.9,14.7,0,45.3,0,14.4,9.7,14.2,10.9,0,8.2
48,48,40957,16.5,18.2,6.5,55.6,8.8,0,24.1,0,7,46.4,9,40.8,0,16.1
49,49,40958,14.6,6,0,0,4.8,0,15.1,0,4.8,10.6,7.3,2.2,0,11.7
50,50,40959,37.9,8.1,0,0,21.7,0,50.7,21.2,17.2,11.5,15.7,0.2,0,11.4
51,51,40960,68.6,20.4,0,0,38.2,0,75.6,26.3,31.2,15.5,20.6,0.2,0,11.8
52,52,40961,50.8,14.6,0,0,34.5,0,75.6,22.9,25,16.8,29.8,14.9,0,10.4
53,53,40962,57.1,16.3,0,0,54.6,0,82.5,27.8,47.2,25.8,39.5,24,0,10.3
54,54,40963,73.8,25.1,0,21,57.4,0,91.6,32,43.5,26.6,29.9,26.4,0,13.7
55,55,40964,57.8,22.6,23.2,22.7,48.4,0,72,38.5,29.3,26.4,23.5,23.1,0,19.4
56,56,40965,13.1,12.4,7.7,12.8,19.6,0,33.2,24.6,10.8,14.4,11.7,13,0,11.8
57,57,40966,45.8,18.5,16.6,20.2,31.4,0,66.8,30.3,22.1,20.8,15.8,19.8,0,17
58,58,40967,58,21.4,16.2,20.1,38.9,0,71.4,34.1,27.8,19.3,19.9,13.2,0,12.3
