,Unnamed: 0,2017,Jerusalem_no2,Jerusalem_pm25,beer_sheva_no2,beer_sheva_pm25,holon_no2,holon_pm25,tlv_no2,tlv_pm25,gedera_no2,gedera_pm25,shderot_no2,shderot_pm25,haifa_no2,haifa_pm25
0,0,Date,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
1,1,42737,66.2,0,24.1,2.8,46,10.8,0,12.6,21.6,9.2,18.6,8.6,24.1,8.5
2,2,42738,51.3,0,22.5,5.7,34.7,10.7,0,9.1,18.2,9.6,15.2,9.6,15.6,6.4
3,3,42739,65.5,0,24.7,5,37.9,8.9,0,0,24.9,9.4,21.9,9.5,16.3,6.7
4,4,42740,59.9,0,25.3,3.9,42.1,10.5,53.5,0,20.3,10.5,17.9,10.5,20,7.9
5,5,42741,70.8,0,22,6.9,51,13.1,62.7,14,31.9,9.5,24.9,9.9,21.5,12
6,6,42742,49.5,0,12.8,6.2,57.5,21.3,65.5,21.4,29.1,14.4,26.8,15.8,8.8,15.9
7,7,42743,24.6,0,13.4,3.5,20.7,16.9,23.5,17.8,13,16.5,13.8,14.1,4.2,16.3
8,8,42744,28.8,0,7.6,3.4,15,24.6,27.7,24.6,12.4,28,12,26.9,4.5,17.2
9,9,42745,41.2,0,13.9,2.8,17.2,23.4,30.9,23.1,16.2,29.9,17.7,26.5,10.5,22.4
10,10,42746,69.1,0,20.5,5,51.1,22.4,66.5,21.9,33,19.7,19.3,20.2,23.2,18.3
11,11,42747,71.1,0,28.7,3.1,55,21.8,67.2,25.2,37,17.9,24.4,14.5,28.6,15.5
12,12,42748,61.7,0,30.7,4.1,57.7,24.8,64.8,22.9,36.8,23.3,37,21.8,24.4,18
13,13,42749,37.3,0,19.7,5.5,28.7,14.8,0,14.4,11.9,13,12.2,10.6,14.6,7.5
14,14,42750,29.6,0,15.5,0,35.8,15.5,0,16.7,15.9,12.2,10.9,8.1,10.7,10.3
15,15,42751,64.6,0,18.7,0,40.1,13.3,0,15,26.9,12.1,18.1,6.7,21.2,10.7
16,16,42752,56.8,0,24.6,0,61.9,25,60.5,25.7,42.1,21.6,34.9,12.6,13.1,12.9
17,17,42753,64,0,21.4,22.6,65.2,30,73.6,29.7,36.1,22.7,33.4,22.3,17.7,22.8
18,18,42754,77,0,22.7,31,49.2,31.7,61.9,34,24.7,26.1,21.9,19.8,22.8,26.3
19,19,42755,69.1,0,23.1,29.5,39.9,26.7,54.8,26.7,23.6,27,16.3,19.3,23.8,21.7
20,20,42756,51.6,0,20.2,24.4,35.5,22,50.9,22.9,20.5,18.7,11.7,15.9,14.8,13.6
21,21,42757,29.8,0,16.9,18.2,31.6,13.7,33.8,11.9,11.5,10.1,12.5,11.1,8.3,7.1
22,22,42758,68.1,0,27.6,16.3,47.5,15.3,60,17.1,29,12.6,19.2,10.5,25.2,12.9
23,23,42759,55.7,0,38.1,25,63.4,24.3,0,23.5,40.8,18.2,36.4,19,24.3,13.1
24,24,42760,57.9,0,16.8,13.7,68.3,23.7,0,19.3,35.7,16.2,28.9,15.1,15.8,11.5
25,25,42761,49.5,0,21.7,21.6,41.7,21.7,0,22.6,30,24.1,29,25.8,19.4,18.4
26,26,42762,42.8,0,14.2,12.4,28.7,9.5,0,11.4,16.2,14.1,16.9,14.1,16.8,6.4
27,27,42763,19.3,0,6.1,7.7,7.9,5.8,0,5.8,6.8,12.3,6,8.3,6.2,7.7
28,28,42764,20.5,0,4.9,7.4,5.8,6,0,5.6,4.3,5.7,4,6,6.5,7.3
29,29,42765,60.2,0,21.2,12.5,38.8,10.2,0,11.2,27.1,9.7,17.7,0,22.1,8.6
30,30,42766,57,18.6,23.1,18.4,44.3,17.6,0,17,30.1,14,31,0,24.4,11.6
31,31,42767,47.2,15.2,17.5,12.8,35.5,11.4,0,9.5,17.9,10.1,13.8,8.8,27,9.5
32,32,42768,48.3,12.7,15.4,11.3,25,10.2,0,10.7,17,10.6,10.4,7.4,16,9.6
33,33,42769,61.6,15,27,16.8,46,15.1,60.3,15.7,21.9,12.3,19.9,0,23,10.5
34,34,42770,64.9,17.1,21.1,21.5,35.6,15.4,43.9,17.1,20.6,13.3,11.9,0,20.4,11.3
35,35,42771,33.3,16.1,20.5,21.9,40.8,23.6,43.4,20.5,22.6,16.9,20,0,17.7,12.1
36,36,42772,67.7,21,36.8,23.4,53.7,23.3,66.5,21.9,32.8,17.2,28.1,0,19.5,15.3
37,37,42773,62.7,22.5,31,30.1,50.3,24.7,60.5,24.8,30.1,21.3,22.8,18.1,23.2,15.5
38,38,42774,61.2,23.3,16.2,21.5,54.9,26.2,78.8,24.5,21.6,18.8,25.4,17.6,16.8,16.3
39,39,42775,60.7,30.6,20.6,46.3,43.9,28.4,53.8,28.2,27.1,42.7,21.4,26.4,12.7,31.1
40,40,42776,74.2,27.9,27.9,49.7,44.4,0,0,25.9,27.1,27.9,21.2,18.8,26.7,36.1
41,41,42777,43,18.5,15.4,27.1,39.1,26.4,0,27,20.7,28,16.4,26.4,20,23.7
42,42,42778,39.3,23.3,14.7,27.7,22.4,31.1,0,30.4,13.8,30.8,12.5,22.6,10.1,26.3
43,43,42779,49.3,10.9,16.5,12.9,47.7,0,0,13.8,18.3,12.7,22.6,11.4,23.2,12
44,44,42780,47.8,6,13.3,13,38.1,12.1,53.6,11.8,15.6,12,17,9.4,18.6,9.9
45,45,42781,39.9,5.2,8.4,7.8,25.5,9.5,42.2,8.8,12.9,10,12.1,7.4,14.2,6.6
46,46,42782,43.4,0,10.3,9.6,28.9,6.8,41.3,6.9,12.1,6.1,11.6,4.1,13.6,6
47,47,42783,58.4,5.4,17.2,9.1,32.7,8.3,43.3,8,19.9,8.6,15.3,6.5,15.1,7.8
48,48,42784,46.6,11.4,17.7,16.1,32,13.7,41.5,12.2,13.5,11.5,14.2,8.7,12.5,9.3
49,49,42785,27.7,11.5,13.9,17.7,29.1,12.8,35.1,14.6,14.8,10.9,10.1,10.2,8.4,9.9
50,50,42786,46.8,11.5,20.4,12.6,57.4,21.4,70.7,19.3,26.4,12.7,24.5,13,11.5,9.1
51,51,42787,60.3,11.1,27.5,13,56.5,19.4,73.6,17.4,28.7,14,28.1,12.5,15.1,11.9
52,52,42788,75.9,21,24.3,22.9,53.7,19.8,70.6,19.4,25,16.3,22.6,14.1,32,15.4
53,53,42789,73.9,26.9,32.6,34,65.1,26.7,75.3,25.2,39.5,22.9,29.4,20.2,23.6,17.6
54,54,42790,76.9,23.1,26,25.5,49.2,22.2,62,22.5,23.6,18.9,15.2,14.9,20.1,16
55,55,42791,64.6,20.8,23,28.2,38,20.8,34.4,20.8,20.1,17.5,12.1,13.9,20.8,15.4
56,56,42792,34.2,13.4,9.7,19.5,38.1,26.9,40.7,24.9,19.5,24.6,14.7,20.6,8.9,17.5
57,57,42793,68.7,16.1,0,27.6,62.6,31.4,72.4,27.1,36.9,28.1,26.6,24.6,22.3,16.5
58,58,42794,69.9,15.6,26.3,26.4,55.6,34.4,63.3,31.1,40.6,30.7,27,25.3,19.9,16.6
59,59,42795,70.2,18.9,20.9,22.6,63.8,33.1,75.6,30,44.6,31.4,37.2,29.5,10.3,18.2
60,60,42796,61.7,27.6,12.7,27.2,53.5,49.3,63.5,46.4,30.6,52.8,23.1,54.8,12,48.6
61,61,42797,38.3,24,14.4,26.9,29.2,28.6,45,29.3,14.9,28.3,13.8,25.2,11.4,24.1
62,62,42798,28.2,7.4,14.7,17.9,16.1,11.5,24.4,11.5,10.3,13.5,7.7,13.9,5.6,7
63,63,42799,21.6,6.1,9,11.3,23,8.7,25.4,8.5,9.8,8.2,9.3,6.8,3.3,6.1
64,64,42800,65.6,17.3,24.5,16.5,45.4,13.9,52.4,12.5,31.4,9.9,15.8,9,16,8.2
65,65,42801,56.8,16.4,20.8,13.6,41.2,20.2,56.8,15.6,30.5,15.9,24.9,16.5,18.6,10.8
66,66,42802,66.4,21.9,11.1,19.9,28.4,21.3,0,19.2,20.2,18.5,14.2,13.5,30.4,17.1
67,67,42803,66.8,23.7,17.2,19,50.1,22,0,17.6,30.7,15.1,17.8,13.9,14.6,9.1
68,68,42804,85.7,17,12.4,14.6,39.7,28.5,0,17.9,21.9,13.6,11.6,11.3,18.3,14.8
69,69,42805,49.8,30.2,8.1,25.3,19.3,36.6,31.3,22,10.7,25.4,9,22.7,18.9,20.7
70,70,42806,18.2,30.6,8.3,39.2,19.7,0,27.8,37.2,8.2,43.6,6.4,48.7,4.4,26.4
71,71,42807,37.5,35.4,8.6,46.1,22.1,0,40,39.5,10.8,47.4,10.2,56.1,6.1,35.9
72,72,42808,43.3,19.8,10.8,27.3,24.3,31.9,30.6,14.1,18.3,27.4,11.5,28.2,0,0
73,73,42809,43.2,9.5,16.5,14.4,28,15.3,38.9,10.8,19.2,11.3,10.7,11.9,0,0
74,74,42810,44.5,9.1,11.3,10.7,28,13.3,42.3,10,12.8,8.9,11.2,8.1,0,0
75,75,42811,41.4,7.4,14.8,11.7,20.9,11,36.7,9.4,0,9.1,14.2,10.9,0,0
76,76,42812,32.9,14.7,16.4,20.6,22.3,19.1,27.4,15.6,11,16,10.4,14.3,0,0
77,77,42813,39.1,15.2,11,15.1,24.5,21.7,19.5,15.6,17,17.8,11.9,16.5,0,0
78,78,42814,36.1,10.7,10.5,10.6,15.2,10.9,23,8.4,0,8.5,9.8,7.9,0,0
79,79,42815,40.8,9.9,11.7,11,18.9,16.5,32.3,12.5,12.9,12.9,10.6,11.8,0,0
80,80,42816,55.2,21.4,17.3,21,27.9,20,41.7,15.1,18.5,16.2,14.6,16.7,0,0
81,81,42817,76.3,21.3,23,23.4,55.9,31.2,59.8,25.8,30.8,22.3,21.9,21.7,0,0
82,82,42818,57.4,18.5,0,18.8,39.4,30.4,44.9,24.7,22.2,21.7,17,18.3,35.9,27
83,83,42819,35.2,21.5,11,20.2,25.6,22.5,23.2,19.2,12.5,18.8,14.1,14.8,17.9,15.4
84,84,42820,31.6,15.1,10.3,19.5,24.8,17,0,14.4,11.2,13.7,7.2,11.4,12.4,11.5
85,85,42821,77.5,17.2,16.7,18.1,35.6,24.2,43.2,15.3,16.1,12.6,14.7,10.8,17.7,11.7
86,86,42822,77.2,18,18.6,18.9,47.1,24.2,53.1,17.8,22.7,15.1,20,13.9,19.3,19.5
87,87,42823,61.8,15.8,21.2,20.3,40.1,22.5,47.5,16.9,15.4,15.9,17.1,16.8,16.6,18.7
88,88,42824,71.1,16.8,18.2,19.4,53.4,31.6,58.1,25.4,28.7,19.8,19.1,18,29.2,24.2
89,89,42825,62.9,15.8,13.5,16.8,38.7,31.9,46.4,21.2,23.1,20.3,14.3,19.9,18.9,24.6
