"סוג: ממוצע, זמן מיצוע: 24 שעות, שנתי: 01/01/2015-01/01/2016",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
תאריך ושעה,"ירושלים, רחוב בר אילן",,"באר שבע, שכונה ו",,"חולון, חולון",,"תל אביב-יפו, רחוב יהודה המכבי",,"גדרה, גדרה",,"שדרות, שדרות",,"חיפה, אחוזה",
,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5
,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
24:00 01/01/2015,68.1,29.6,30.3,46.8,39.1,49.1,61,50,22.9,57,11.2,64,15,51.8
24:00 02/01/2015,36.2,37.5,20.1,46.2,19.6,51.3,36,50.3,8.3,70,-0.3,76,14.3,50.4
24:00 03/01/2015,31.1,16.3,12.1,16.6,11.8,12.3,20.2,10.6,5.4,12.8,-1.3,18.6,7.8,8.9
24:00 04/01/2015,44.6,21.7,13.1,12.3,24.2,9,42.6,9,12.4,12,4.5,13.4,18.6,9.8
24:00 05/01/2015,27.5,22,11,11.9,21,10.8,45.2,12.1,13.1,12.5,6.3,11.7,16.4,6.5
24:00 06/01/2015,27.4,61.2,5.7,143.8,11.3,68.7,25.1,55,10.3,127.6,2.5,151.5,13.4,45.8
24:00 07/01/2015,11.3,&lt;Samp,5.9,85.9,9.1,50.3,23.5,45.7,7.8,115.3,NoData,NoData,&lt;Samp,&lt;Samp
24:00 08/01/2015,25.9,&lt;Samp,10.2,11.2,13.1,6.4,25.3,5.8,9.5,6.7,4.5,67.2,&lt;Samp,14.4
24:00 09/01/2015,26.3,9.4,11.3,9.8,23.3,4.8,35.4,6.3,10,5.8,1.9,5.9,&lt;Samp,&lt;Samp
24:00 10/01/2015,19.2,18.7,9.8,10.8,13.2,8.5,21.9,8.5,3.5,8.9,-0.8,8.9,NoData,NoData
24:00 11/01/2015,56.7,19.5,19.3,14.9,38.5,10.2,53,9.5,22.7,5.4,10.7,10.2,&lt;Samp,&lt;Samp
24:00 12/01/2015,48,26.9,15.5,20.5,48.3,14,62,16.8,20.7,12.6,9.5,14.6,Down,9.9
24:00 13/01/2015,60.4,25.8,12.6,19.4,52.8,11.4,67.6,15.1,19.8,12.1,8.7,10.8,&lt;Samp,&lt;Samp
24:00 14/01/2015,60.3,28.1,19.6,17.2,38,13.8,60,13.8,19.1,19,17.1,20.5,&lt;Samp,&lt;Samp
24:00 15/01/2015,46.6,18.1,14.9,17.5,34.4,14.6,55,15.6,8.8,18.9,7.4,23.9,18.6,17.4
24:00 16/01/2015,40.8,23.9,11.5,17.6,32.1,13.1,43.7,12.1,5.9,18.4,2.6,17.2,14.7,8.1
24:00 17/01/2015,42.5,28.4,15.3,14.2,28.7,11.3,35.9,10.7,3.7,10.8,2.4,9.3,16.8,16.2
24:00 18/01/2015,82.7,29.7,30.3,27.6,47.9,19.6,65.8,20.3,28.8,16.6,15,16.8,23.4,17.4
24:00 19/01/2015,82.6,38.1,29.8,34.6,55.9,23.7,70.8,25.2,36.2,21,13.6,20.1,22.8,16.9
24:00 20/01/2015,82.1,52.5,23.3,34.1,56.7,26.6,71.8,26.5,45,21.6,22.4,24.5,19.1,25.2
24:00 21/01/2015,84.2,45.3,28.8,19.8,62.2,-7.1,88.1,26.4,47.4,16.9,22.9,16.9,31.4,23
24:00 22/01/2015,98,48,38.3,31.9,72.7,28.7,82.3,25.6,49.3,22.1,26.6,24.9,27.6,25.9
24:00 23/01/2015,63.2,50,14.1,27.9,66.8,30.7,78.5,-11.8,45.9,24.4,14.4,29,7.9,21.3
24:00 24/01/2015,43,43.3,18.7,21.6,46.9,24.4,66.7,19.8,23.7,19.4,6.1,18.4,3.5,22.1
24:00 25/01/2015,99.1,62.5,28.4,34,62.5,42.5,90.4,39.2,38.1,37.2,18.9,39.6,35.4,InVld
24:00 26/01/2015,86.2,70.9,27.5,41.1,59.9,40.7,69.1,38.4,42.4,39.6,15.6,38.2,17.1,InVld
24:00 27/01/2015,67.1,37.1,24.9,27.1,66.8,34.4,72.5,29.3,50.5,32.8,&lt;Samp,28,29,InVld
24:00 28/01/2015,64.3,40.1,21.7,22.3,46.4,25,59,23.8,28.1,25.1,13.5,23.6,18.9,InVld
24:00 29/01/2015,70.7,34.7,27.5,20.2,55.6,25.8,72,18.9,29.5,20.3,25.1,23.5,15.6,InVld
24:00 30/01/2015,43.4,25,13.5,22.5,33.3,25.2,42.6,19.3,14.1,24.7,12.8,24.9,7.7,InVld
24:00 31/01/2015,46.6,34.3,15.6,21.7,40.9,41.9,48.2,22.7,18.5,25.7,9.6,26.6,9.5,InVld
24:00 01/02/2015,113.4,35.2,23.5,19.1,73,30.4,94.3,-21.6,51.6,22.2,27.1,24.5,21.5,InVld
24:00 02/02/2015,95.6,40,34.8,21.4,59.7,30.9,81.8,27.5,46.4,25.1,35.3,25.2,17.2,InVld
24:00 03/02/2015,68.4,37.9,27.9,25.8,40.6,28.3,62.1,28.2,41.7,33,20.9,35.3,21.9,InVld
24:00 04/02/2015,62.6,30.7,18.5,20.9,47.4,30.2,62.4,25.5,24.1,36.1,20.3,35,13.1,InVld
24:00 05/02/2015,64.4,37.7,26.2,19,58.5,19.8,63,18.1,43.6,19,28.1,21.2,15.1,InVld
24:00 06/02/2015,63.1,34.4,11.8,17.6,81.2,37.1,94.6,35.9,45.5,26.5,21.7,25,6.8,InVld
24:00 07/02/2015,36.6,37.2,8.1,23.4,25.1,23.4,35.5,21.7,14.8,25.1,10.6,28,7.3,InVld
24:00 08/02/2015,45.5,26.8,16.2,12.6,22.8,11,47.5,10,19.2,16.2,20.3,17.8,7.4,InVld
24:00 09/02/2015,57.8,32.3,22.7,19,34,18.5,57.7,16.8,21.1,17.3,15.6,18.8,8.9,InVld
24:00 10/02/2015,51.8,80.7,9.7,177.5,24.3,127.3,43,91.8,15.1,151.2,12.3,181.9,7.5,144.7
24:00 11/02/2015,23.7,151.1,5,367.9,10.4,358.9,24,296.6,9.6,471.7,8.2,497.6,3.8,&lt;Samp
24:00 12/02/2015,36.6,47.1,7.6,90.6,17.9,69.5,37,48.9,14.7,100.5,13,109.4,6.4,&lt;Samp
24:00 13/02/2015,22.4,29.3,4.9,17.6,12.9,23.6,25.8,11.4,9,14.7,7.5,16.1,5,11.2
24:00 14/02/2015,28.8,32.5,8.5,12.4,24.5,11.8,29.2,10.2,17,11.4,6.5,10.9,9.2,7.9
24:00 15/02/2015,58,37.9,19.2,14.4,40.2,14.2,58.4,13.7,34.7,10.8,20.9,13,24.5,8.5
24:00 16/02/2015,53.3,35.2,18.2,16.6,31.3,11,51.3,10.8,24.8,14.6,20.5,16.2,25.4,9
24:00 17/02/2015,67,35.5,24.1,19.1,37.7,12.5,60.3,11.7,22.3,12.4,20,13.2,14.2,9.1
24:00 18/02/2015,52.5,30.3,16.5,9.2,22.6,8.6,43.2,9.3,13,9.5,12.9,10.4,5.5,6.4
24:00 19/02/2015,29.1,24.5,5.2,8,12.9,6.8,32.1,7.1,11.5,7.1,8.1,7.1,3.2,6.6
24:00 20/02/2015,12.7,40.6,4.4,9,8.8,5.9,16.1,5.5,InVld,11.2,5.3,7.4,2,8.1
24:00 21/02/2015,36.1,21.4,12.6,9.7,19.2,12.4,24.5,7.3,InVld,10.6,9,7.4,4.2,8.5
24:00 22/02/2015,68.6,26.6,15.8,15.1,50.3,13.9,60.8,12.6,&lt;Samp,14.3,15.8,11.1,17.4,7.3
24:00 23/02/2015,72.9,32.2,18.5,16.1,80.6,23.8,85.9,21.8,51.7,16.8,26.1,16.1,13.2,5.7
24:00 24/02/2015,59.5,25.7,17.1,11.6,56.7,&lt;Samp,71.4,15.6,33.2,16.1,23.5,15.3,12.2,11.4
24:00 25/02/2015,59.3,32,18,27,36.1,26.3,56.9,24.8,24.3,35.3,&lt;Samp,&lt;Samp,9.5,21.7
24:00 26/02/2015,54.4,29.8,16,21.5,50.7,28.2,69.1,25.8,29.7,32.7,&lt;Samp,&lt;Samp,7.5,14.6
24:00 27/02/2015,51.8,28.3,11.1,17.9,48.3,23.5,65.1,21.7,24.1,23.4,&lt;Samp,&lt;Samp,4.3,15.8
24:00 28/02/2015,27.4,19.5,12,16.6,19.1,20.3,26.8,18.5,12.1,22.7,7,24.4,2.2,27.1
24:00 01/03/2015,59.8,27.6,17.4,20.4,27,28.3,42.4,25,20.9,50.3,16.3,45.3,9.5,49.5
24:00 02/03/2015,45.4,13.3,20.4,14.8,28.7,14,44.5,11.9,14.9,18.5,15.1,21.7,9.3,8.5
24:00 03/03/2015,51.3,18.4,21,12.4,25.8,9.5,45.3,8.9,18.9,9.8,15.3,10.7,6.7,10.8
24:00 04/03/2015,49.6,20.4,17.4,14.2,24.9,11.2,39.4,10,15.1,13.4,10.5,12.3,12,10
24:00 05/03/2015,52.5,19.9,23.4,17.8,39.2,14.8,52.4,15.5,29.6,14.9,14.1,12.9,11.2,8.5
24:00 06/03/2015,37.4,35.2,8.3,22,24.4,21.2,51.9,17.3,17.7,27.1,14.1,28.7,3.5,10.5
24:00 07/03/2015,26.3,28.4,13.8,36.2,27.6,38.5,40.4,32.2,13.9,44.9,10.1,52.5,0.9,21.2
24:00 08/03/2015,73.6,43.5,30.2,38.5,45.1,49.2,64.5,38.7,&lt;Samp,&lt;Samp,18.5,39,17,39.4
24:00 09/03/2015,94.1,36.9,28.9,35.7,68.9,40.6,74.7,39.2,47.9,42,30.4,38.7,14.8,31.9
24:00 10/03/2015,81,34.4,24.3,27.5,36.4,31.7,49.9,29.9,26.8,40.6,16.6,38.9,26.3,38.8
24:00 11/03/2015,67.8,39.6,20.3,33.7,18.7,25.4,32.8,25.4,16.1,24,8.1,27.4,5,17.1
24:00 12/03/2015,49.6,17.8,13.7,10.8,23.8,11.1,39.5,10,15.2,12.1,12.4,13.4,8.1,9.6
24:00 13/03/2015,49.8,22.2,11.7,16.8,27.8,11.6,36.9,11.1,13.1,13.7,10.6,13.9,5.8,10.5
24:00 14/03/2015,30.3,23.1,15.2,14.4,25.9,15.3,32.3,12.9,20.9,12.6,13.6,10.9,5.3,10.3
24:00 15/03/2015,63.9,17.1,17.2,13.1,27.2,11.6,44.7,11.6,20.3,12.5,16.6,12.4,13.2,9.5
24:00 16/03/2015,59,21.9,15.4,&lt;Samp,25.3,11.4,42.2,11.7,InVld,13.2,14.2,12.3,8.6,7.8
24:00 17/03/2015,58.5,21.2,12,11.9,32.8,13.9,46,14.5,18.8,12.1,9.4,12,6.5,7.4
24:00 18/03/2015,63.5,26.7,20.2,19.7,34.3,14.6,47.5,15.2,31.9,16.5,23.1,15.8,15,11.2
24:00 19/03/2015,51.6,18.3,16.8,14.2,26.5,10.6,48.1,14.3,17.8,14.1,14.6,14.4,6.2,8.9
