,Unnamed: 0,2013,Jerusalem_no2,Jerusalem_pm25,beer_sheva_no2,beer_sheva_pm25,holon_no2,holon_pm25,tlv_no2,tlv_pm25,gedera_no2,gedera_pm25,shderot_no2,shderot_pm25,haifa_no2,haifa_pm25
0,0,Date,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
1,1,41276,66.5,35.5,35.9,38.1,43.9,43.5,81.3,33.6,22.3,27.8,19,28.7,0,30
2,2,41277,76.3,34.4,27.7,33.5,40.8,42.6,75.7,28.9,26.3,22.7,19.6,21.3,0,21.8
3,3,41278,79.9,40.2,31.3,40.6,53.2,55,82.9,42.4,41.3,31.2,24.3,37.6,0,26.7
4,4,41279,57.4,44.3,15.7,35.8,0,66,63.6,0,20.6,37.7,21,36.6,0,25.9
5,5,41280,21.9,16.1,9.2,0,0,21.1,25.5,13.7,5.5,13.9,7.6,17.4,0,6.2
6,6,41281,31.3,29.8,7.9,0,0,27.2,37.6,22.4,0,0,10.6,52.3,0,14.1
7,7,41282,26.7,23.8,6.5,91.6,0,34.5,33.9,23.1,7.1,64.9,7.4,68.6,0,26.2
8,8,41283,32.9,17.4,7.7,81.8,0,0,31,9.6,10.7,28.2,11.2,44.1,0,6.4
9,9,41284,25.5,5.9,0,0,0,0,18.5,9.4,0,0,3.5,7.6,0,6.6
10,10,41285,33.3,8.6,0,0,0,12.5,43.8,0,0,0,0,0,0,8.4
11,11,41286,46.2,16.9,0,0,28.2,22.2,50.9,16.6,8.8,10.1,7.4,11.9,0,11.1
12,12,41287,31.9,21.7,0,0,34.3,21.5,47.4,15.7,12.9,11.8,12.6,12.8,0,10.2
13,13,41288,66.3,37.3,0,0,77.6,44.9,76.5,39,26.6,35.9,30,23.7,0,20.3
14,14,41289,79.3,41.2,30.4,33.4,0,0,78.7,38.9,41.8,34.8,30.8,27.9,0,25.7
15,15,41290,0,0,19.4,27.9,74.2,0,75.2,43.5,27.2,44.9,31.7,42.2,0,28
16,16,41291,0,0,16.1,32.2,52.4,0,84.9,42.3,18.3,50.5,26.4,42.3,0,21.5
17,17,41292,0,0,40.5,53.4,78.2,0,79.8,41.8,30.9,62.3,25.5,55.5,0,35.4
18,18,41293,80.7,47.6,32.8,52.7,0,72.8,65.6,0,27,48.1,24.3,50.2,0,29
19,19,41294,48.4,30.1,20.7,37.2,0,34.9,0,29.5,10.2,31.7,13.2,31.2,0,26.2
20,20,41295,86.4,32.4,31.3,32.8,84.2,35.9,85.3,34.5,27.8,29,29.9,29.2,0,18.3
21,21,41296,110.8,43.6,22.3,0,106.1,0,94.3,37.4,47.4,25.5,27.7,21.6,0,15
