hide_gender,שנת אבחנה,מגדר ולאום,לאום,מגדר,סוג סרטן,קבוצת גיל,יבשת מוצא,מקדם עולמי,ASR Total,ASR_T,Cancer Rate,gender_code,ind_single_gender,World_Coefficient_N,אוכלוסיה,אוכלוסיה מחושבת,מספר מקרי סרטן,"סה""כ אוכלוסיה",סוגי סרטן לפי מגדר,סכום מקרי הסרטן
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,05-ספט,,10000,0,0,0,1,0,"10,000",283503,283503,0,283503,3,0
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,0-4,,12000,0.04,0.04,0.31,1,0,"12,000",325323,325323,1,325323,3,1
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,70-74,,2000,5.12,5.12,255.99,1,0,"2,000",73830,73830,189,73830,3,189
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,75+,,2000,6.31,6.31,315.62,1,0,"2,000",149546,149546,472,149546,3,472
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,65-69,,3000,5.63,5.63,187.76,1,0,"3,000",116638,116638,219,116638,3,219
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,55-59,,4000,3.93,3.93,98.13,1,0,"4,000",155911,155911,153,155911,3,153
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,60-64,,4000,4.89,4.89,122.3,1,0,"4,000",152090,152090,186,152090,3,186
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,50-54,,5000,1.94,1.94,38.77,1,0,"5,000",157347,157347,61,157347,3,61
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,30-34,,6000,0.05,0.05,0.89,1,0,"6,000",225258,225258,2,225258,3,2
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,35-39,,6000,0.19,0.19,3.24,1,0,"6,000",216237,216237,7,216237,3,7
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,40-44,,6000,0.47,0.47,7.81,1,0,"6,000",192097,192097,15,192097,3,15
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,45-49,,6000,1.11,1.11,18.47,1,0,"6,000",162405,162405,30,162405,3,30
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,20-24,,8000,0.07,0.07,0.88,1,0,"8,000",226568,226568,2,226568,3,2
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,25-29,,8000,0,0,0,1,0,"8,000",233061,233061,0,233061,3,0
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,אוק-14,,9000,0,0,0,1,0,"9,000",250611,250611,0,250611,3,0
FALSE,2013,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,15-19,,9000,0.04,0.04,0.44,1,0,"9,000",229240,229240,1,229240,3,1
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,05-ספט,,10000,0,0,0,2,0,"10,000",269719,269719,0,269719,3,0
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,0-4,,12000,0,0,0,2,0,"12,000",309723,309723,0,309723,3,0
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,70-74,,2000,2.48,2.48,124.03,2,0,"2,000",90303,90303,112,90303,3,112
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,75+,,2000,2.99,2.99,149.52,2,0,"2,000",216687,216687,324,216687,3,324
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,65-69,,3000,2.93,2.93,97.76,2,0,"3,000",131959,131959,129,131959,3,129
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,55-59,,4000,2.18,2.18,54.53,2,0,"4,000",170537,170537,93,170537,3,93
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,60-64,,4000,3.09,3.09,77.3,2,0,"4,000",168173,168173,130,168173,3,130
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,50-54,,5000,1.45,1.45,28.99,2,0,"5,000",169033,169033,49,169033,3,49
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,30-34,,6000,0.11,0.11,1.76,2,0,"6,000",227043,227043,4,227043,3,4
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,35-39,,6000,0.19,0.19,3.18,2,0,"6,000",219913,219913,7,219913,3,7
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,40-44,,6000,0.3,0.3,5.07,2,0,"6,000",197291,197291,10,197291,3,10
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,45-49,,6000,0.86,0.86,14.27,2,0,"6,000",168166,168166,24,168166,3,24
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,20-24,,8000,0,0,0,2,0,"8,000",218666,218666,0,218666,3,0
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,25-29,,8000,0.17,0.17,2.17,2,0,"8,000",230115,230115,5,230115,3,5
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,אוק-14,,9000,0,0,0,2,0,"9,000",238837,238837,0,238837,3,0
FALSE,2013,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,15-19,,9000,0.04,0.04,0.46,2,0,"9,000",218447,218447,1,218447,3,1
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,05-ספט,,10000,0,0,0,1,0,"10,000",100195,100195,0,100195,3,0
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,0-4,,12000,0,0,0,1,0,"12,000",101659,101659,0,101659,3,0
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,70-74,,2000,6.96,6.96,347.81,1,0,"2,000",8913,8913,31,8913,3,31
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,75+,,2000,8.74,8.74,436.93,1,0,"2,000",10528,10528,46,10528,3,46
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,65-69,,3000,12.32,12.32,410.5,1,0,"3,000",12911,12911,53,12911,3,53
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,55-59,,4000,4.36,4.36,109.02,1,0,"4,000",23848,23848,26,23848,3,26
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,60-64,,4000,11.64,11.64,291.07,1,0,"4,000",16491,16491,48,16491,3,48
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,50-54,,5000,4.37,4.37,87.37,1,0,"5,000",33191,33191,29,33191,3,29
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,30-34,,6000,0,0,0,1,0,"6,000",55766,55766,0,55766,3,0
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,35-39,,6000,0.32,0.32,5.39,1,0,"6,000",55682,55682,3,55682,3,3
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,40-44,,6000,0.12,0.12,2.05,1,0,"6,000",48802,48802,1,48802,3,1
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,45-49,,6000,1.85,1.85,30.8,1,0,"6,000",42202,42202,13,42202,3,13
FALSE,2013,"זכר, ערבי",ערבי,זכר,lung,20-24,,8000,0,0,0,1,0,"8,000",77325,77325,0,77325,3,0
