hide_gender,שנת אבחנה,מגדר ולאום,לאום,מגדר,סוג סרטן,קבוצת גיל,יבשת מוצא,מקדם עולמי,ASR Total,ASR_T,Cancer Rate,gender_code,ind_single_gender,World_Coefficient_N,אוכלוסיה,אוכלוסיה מחושבת,מספר מקרי סרטן,"סה""כ אוכלוסיה",סוגי סרטן לפי מגדר,סכום מקרי הסרטן
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,05-ספט,,10000,0,0,0,1,0,"10,000",275653,275653,0,275653,3,0
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,0-4,,12000,0,0,0,1,0,"12,000",316621,316621,0,316621,3,0
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,70-74,,2000,5.29,5.29,264.27,1,0,"2,000",76438,76438,202,76438,3,202
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,75+,,2000,6.16,6.16,307.86,1,0,"2,000",144873,144873,446,144873,3,446
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,65-69,,3000,5.43,5.43,181.14,1,0,"3,000",103234,103234,187,103234,3,187
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,55-59,,4000,3.21,3.21,80.33,1,0,"4,000",156860,156860,126,156860,3,126
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,60-64,,4000,5.45,5.45,136.24,1,0,"4,000",150470,150470,205,150470,3,205
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,50-54,,5000,2.57,2.57,51.31,1,0,"5,000",157873,157873,81,157873,3,81
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,30-34,,6000,0.03,0.03,0.45,1,0,"6,000",221118,221118,1,221118,3,1
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,35-39,,6000,0.14,0.14,2.34,1,0,"6,000",213439,213439,5,213439,3,5
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,40-44,,6000,0.65,0.65,10.8,1,0,"6,000",185243,185243,20,185243,3,20
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,45-49,,6000,1.35,1.35,22.5,1,0,"6,000",160002,160002,36,160002,3,36
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,20-24,,8000,0.07,0.07,0.88,1,0,"8,000",226783,226783,2,226783,3,2
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,25-29,,8000,0.07,0.07,0.86,1,0,"8,000",233330,233330,2,233330,3,2
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,אוק-14,,9000,0,0,0,1,0,"9,000",244974,244974,0,244974,3,0
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,15-19,,9000,0.04,0.04,0.44,1,0,"9,000",226145,226145,1,226145,3,1
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,05-ספט,,10000,0,0,0,2,0,"10,000",262110,262110,0,262110,3,0
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,0-4,,12000,0.04,0.04,0.33,2,0,"12,000",301744,301744,1,301744,3,1
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,70-74,,2000,2.35,2.35,117.57,2,0,"2,000",94411,94411,111,94411,3,111
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,75+,,2000,2.81,2.81,140.73,2,0,"2,000",211037,211037,297,211037,3,297
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,65-69,,3000,3.11,3.11,103.76,2,0,"3,000",116619,116619,121,116619,3,121
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,55-59,,4000,1.94,1.94,48.45,2,0,"4,000",171296,171296,83,171296,3,83
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,60-64,,4000,2.83,2.83,70.79,2,0,"4,000",166681,166681,118,166681,3,118
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,50-54,,5000,1.15,1.15,22.92,2,0,"5,000",170163,170163,39,170163,3,39
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,30-34,,6000,0.05,0.05,0.9,2,0,"6,000",223430,223430,2,223430,3,2
